ID NAP;DIRECCION;Puertos_Utilizados;Puertos_Disponibles;Latitud;Longitud
SM-C10-23;GENERAL PAZ 402, TANDIL;1;15;-37,3271667;-59,1308324
SM-C10-24;GENERAL PAZ 395, TANDIL;0;16;-37,3273697;-59,130732
SM-C10-25;GENERAL PAZ 348, TANDIL;2;6;-37,3278718;-59,1304157
SM-C10-27;GENERAL PAZ 305, TANDIL;1;15;-37,3283128;-59,130133
SM-C10-28;GENERAL PAZ 285, TANDIL;2;14;-37,3285771;-59,1299655
SM-C10-29;GENERAL PAZ 227, TANDIL;3;5;-37,3291809;-59,1296792
SM-C10-31;GENERAL PAZ 210, TANDIL;2;14;-37,3294493;-59,1295213
SM-C10-32;GENERAL PAZ 186, TANDIL;9;7;-37,3296057;-59,129353
SM-C10-35;GENERAL PAZ 110, TANDIL;11;5;-37,3307076;-59,1287086
SM-C10-36;GENERAL PAZ 81, TANDIL;9;7;-37,3309288;-59,1284693
SM-C10-37;SANTAMARINA 29, TANDIL;1;7;-37,3308361;-59,1265909
SM-C10-39;SANTAMARINA 10, TANDIL;3;13;-37,3311985;-59,1263764
SM-C10-41;AVELLANEDA 966, TANDIL;7;1;-37,3316184;-59,1272091
SM-C10-42;GENERAL PAZ 3, TANDIL;11;5;-37,33187;-59,1279561
SM-C04-20;Montiel 496, TANDIL;6;10;-37,318901;-59,1247342
SM-C04-16;Montiel 580, TANDIL;5;11;-37,3216455;-59,1234199
SM-C06-05;General Roca 859, TANDIL;7;1;-37,319408;-59,128026
SM-C06-07;Roca 851, TANDIL;14;2;-37,319876;-59,127618
SM-C06-13;General Roca 663, TANDIL;3;5;-37,3215051;-59,1266479
SM-C04-25;Montiel 355, TANDIL;6;10;-37,32421;-59,1213931
SM-C10-15;General paz 614, TANDIL;6;10;-37,3245141;-59,132458
SM-C01-04;AV BUZON 884, TANDIL;3;13;-37,3162958;-59,1210498
SM-C01-05;BUZÓN 840, TANDIL;2;6;-37,316908;-59,1207812
SM-C10-33;GENERAL PAZ 150, TANDIL;7;1;-37,3303898;-59,129134
SM-C10-12;GENERAL PAZ 695, TANDIL;3;13;-37,3236514;-59,1326693
SM-C06-04;GENERAL ROCA 890 , TANDIL;12;4;-37,3190737;-59,1285977
